Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Rice,Andaman And Nicobar Islands,Kharif,0.06,0.06,0.05,0.05,,0.13,0.13,0.11,0.1,,2133.0,2133.0,2107.0,2100.0,
Rice,Andhra Pradesh,Kharif,14.96,15.08,14.52,13.47,14.04,42.11,43.26,49.86,46.95,50.31,2815.0,2869.0,3434.0,3485.0,3583.0
Rice,Andhra Pradesh,Rabi,8.28,7.81,6.77,5.73,6.71,36.72,34.37,29.56,26.46,29.86,4437.0,4401.0,4366.0,4616.0,4450.0
Rice,Arunachal Pradesh,Kharif,1.33,1.36,1.36,1.37,,2.46,2.51,2.53,2.54,,1849.0,1852.0,1857.0,1858.0,
Rice,Arunachal Pradesh,Rabi,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,1340.0,1343.0,1345.0,1347.0,
Rice,Assam,Kharif,19.8,19.83,19.43,19.18,18.36,41.43,35.38,45.18,43.74,38.91,2092.0,1784.0,2326.0,2281.0,2120.0
Rice,Assam,Rabi,3.8,3.7,,,,10.72,8.44,,,,2820.0,2281.0,,,
Rice,Assam,Summer,,,3.75,3.78,3.65,,,11.06,11.64,10.26,,,2949.0,3080.0,2812.0
Rice,Bihar,Kharif,29.62,30.37,28.09,30.5,31.59,66.11,75.72,68.73,77.29,82.85,2232.0,2493.0,2447.0,2534.0,2623.0
Rice,Bihar,Rabi,0.59,0.54,,,,1.36,1.45,,,,2307.0,2682.0,,,
Rice,Bihar,Summer,,,0.54,0.6,0.56,,,1.5,1.73,1.56,,,2778.0,2888.0,2783.0
Rice,Chandigarh,Kharif,,,,,,,,,,,5500.0,5500.0,3950.0,4979.0,
Rice,Chhattisgarh,Kharif,37.91,37.59,37.71,38.22,39.03,71.61,80.22,98.12,97.03,85.35,1889.0,2134.0,2602.0,2539.0,2187.0
Rice,Dadra And Nagar Haveli,Kharif,0.16,0.16,0.17,0.17,,0.33,0.33,0.36,0.36,,2078.0,2069.0,2073.0,2068.0,
Rice,Daman And Diu,Kharif,0.01,0.01,,,,0.03,0.03,,,,1956.0,1936.0,,,
Rice,Delhi,Kharif,0.06,0.06,0.06,0.06,,0.2,0.19,0.17,0.17,,3200.0,3106.0,3067.0,3067.0,
Rice,Goa,Kharif,0.23,0.23,0.23,0.23,,0.62,0.66,0.63,0.68,,2627.0,2816.0,2789.0,2890.0,
Rice,Goa,Rabi,0.09,0.09,0.09,0.09,,0.26,0.25,0.25,0.27,,2790.0,2742.0,2842.0,2983.0,
Rice,Gujarat,Kharif,8.37,8.18,8.68,8.73,8.86,19.37,18.85,21.66,21.38,19.31,2314.0,2304.0,2496.0,2449.0,2179.0
Rice,Gujarat,Rabi,0.7,0.74,,,,2.09,2.16,,,,2999.0,2924.0,,,
Rice,Gujarat,Summer,,,0.79,0.95,1.27,,,2.3,2.69,3.57,,,2899.0,2816.0,2816.0
Rice,Haryana,Kharif,13.27,12.81,15.2,15.63,16.09,44.25,46.18,51.09,59.76,60.6,3334.0,3605.0,3362.0,3822.0,3766.0
Rice,Himachal Pradesh,Kharif,0.68,0.66,0.67,0.7,0.7,1.4,1.68,1.31,1.73,1.58,2052.0,2532.0,1942.0,2474.0,2263.0
Rice,Jammu And Kashmir,Kharif,2.68,2.69,2.74,2.58,,5.81,4.93,6.04,6.41,,2173.0,1834.0,2202.0,2482.0,
Rice,Jharkhand,Kharif,14.11,14.45,8.55,11.0,14.66,27.53,29.3,14.94,15.16,27.77,1951.0,2028.0,1747.0,1378.0,1894.0
Rice,Karnataka,Kharif,10.38,10.08,9.46,8.49,8.86,31.45,31.22,31.63,28.23,30.21,3030.0,3097.0,3344.0,3325.0,3409.0
Rice,Karnataka,Rabi,3.59,3.9,0.92,0.43,0.41,11.47,11.97,2.42,1.16,1.16,3193.0,3069.0,2633.0,2694.0,2833.0
Rice,Karnataka,Summer,,,2.9,0.61,3.05,,,8.74,1.89,9.09,,,3016.0,3093.0,2986.0
Rice,Kerala,Kharif,1.57,1.5,0.5,0.45,0.41,4.7,3.42,1.37,1.16,1.15,2985.0,2274.0,2716.0,2593.0,2786.0
Rice,Kerala,Rabi,0.48,0.45,0.71,0.72,0.69,1.64,1.45,2.25,1.95,2.03,3441.0,3195.0,3149.0,2711.0,2961.0
Rice,Kerala,Summer,,,0.7,0.63,0.66,,,2.34,1.86,2.09,,,3350.0,2941.0,3155.0
